Performance_Record_ID,Employee_ID,Quarter,Department,Goal_Achievement_Score,Quality_Score,Behaviour_Score,Overall_Score,Performance_Rating,Manager_Checkin_Completed,Development_Plan_Created
PF-0062,SG-21016092329,Q3,Smartwatch Production,73,77,79,75.6,Meets,No,Yes
PF-0063,SG-21016092329,Q4,Smartwatch Production,66,90,86,78.4,Meets,Yes,Yes
PF-0064,SG-21012042030,Q1,Smartwatch Production,62,51,57,57.1,Needs Improvement,No,Yes
PF-0065,SG-21026012031,Q1,Smartwatch Production,49,64,66,57.7,Needs Improvement,Yes,No
PF-0066,SG-21026012031,Q2,Smartwatch Production,88,81,74,82.8,Exceeds,Yes,No
PF-0067,SG-21026012031,Q3,Smartwatch Production,86,92,82,87.3,Exceeds,No,Yes
PF-0068,SG-21026012031,Q4,Smartwatch Production,88,98,90,91.9,Exceptional,Yes,No
PF-0069,SG-21004112432,Q1,Smartwatch Production,54,50,59,53.6,Needs Improvement,No,No
PF-0070,SG-21029082333,Q1,Smartwatch Production,57,48,65,55.5,Needs Improvement,Yes,No
PF-0071,SG-21010121834,Q1,Smartwatch Production,65,65,53,62.6,Needs Improvement,Yes,No
PF-0072,SG-21010121834,Q2,Smartwatch Production,83,68,73,75.8,Meets,Yes,No
PF-0073,SG-21014052035,Q1,Smartwatch Production,50,54,62,53.8,Needs Improvement,Yes,No
PF-0074,SG-21021101936,Q1,Smartwatch Production,77,55,59,65.7,Meets,Yes,Yes
PF-0075,SG-21021101936,Q2,Smartwatch Production,44,73,64,58.1,Needs Improvement,Yes,No
PF-0076,SG-21021101936,Q3,Smartwatch Production,76,73,80,75.8,Meets,Yes,Yes
PF-0077,SG-21022042437,Q1,Smartwatch Production,61,51,56,56.5,Needs Improvement,Yes,No
PF-0078,SG-21022042437,Q2,Smartwatch Production,61,73,72,67.4,Meets,Yes,No
PF-0079,SG-21022042437,Q3,Smartwatch Production,74,76,80,75.9,Meets,Yes,Yes
PF-0080,SG-21022042437,Q4,Smartwatch Production,94,99,91,95.2,Exceptional,Yes,Yes
PF-0081,SG-21014122238,Q1,Smartwatch Production,49,49,66,52.4,Needs Improvement,No,Yes
PF-0082,SG-21014032139,Q1,Smartwatch Production,58,60,62,59.5,Needs Improvement,Yes,Yes
PF-0083,SG-21014032139,Q2,Smartwatch Production,86,79,76,81.5,Exceeds,Yes,Yes
PF-0084,SG-21014032139,Q3,Smartwatch Production,70,100,81,82.7,Exceeds,No,No
PF-0085,SG-21014032139,Q4,Smartwatch Production,87,89,81,86.5,Exceeds,Yes,No
PF-0086,SG-21027072040,Q1,Smartwatch Production,44,60,69,54.6,Needs Improvement,Yes,No
PF-0087,SG-21007012041,Q1,Smartwatch Production,49,70,60,58.5,Needs Improvement,Yes,Yes
PF-0088,SG-21007012041,Q2,Smartwatch Production,58,62,65,60.8,Needs Improvement,Yes,Yes
PF-0089,SG-21007012041,Q3,Smartwatch Production,68,80,84,75.4,Meets,Yes,Yes
PF-0090,SG-21007012041,Q4,Smartwatch Production,79,73,76,76.3,Meets,Yes,Yes
PF-0091,SG-21030102342,Q1,Smartwatch Production,60,58,65,60.3,Needs Improvement,Yes,No
PF-0092,SG-21029042543,Q1,Smartwatch Production,70,65,64,67.0,Meets,Yes,No
PF-0093,SG-21002032244,Q1,Smartwatch Production,66,54,61,60.8,Needs Improvement,No,No
PF-0094,SG-21002032244,Q2,Smartwatch Production,78,81,59,75.2,Meets,No,Yes
PF-0095,SG-21002032244,Q3,Smartwatch Production,74,81,82,78.1,Meets,Yes,Yes
PF-0096,SG-21002032244,Q4,Smartwatch Production,87,92,80,87.3,Exceeds,Yes,No
PF-0097,SG-21007011845,Q1,Smartwatch Production,45,54,69,53.0,Needs Improvement,No,No
PF-0098,SG-22022072001,Q1,Quality Assurance,58,63,67,61.5,Needs Improvement,Yes,No
PF-0099,SG-22022072001,Q2,Quality Assurance,67,85,71,74.1,Meets,Yes,No
PF-0100,SG-22022072001,Q3,Quality Assurance,75,73,75,74.3,Meets,Yes,Yes
PF-0101,SG-22027072502,Q1,Quality Assurance,65,69,77,68.8,Meets,Yes,No
PF-0102,SG-22027072502,Q2,Quality Assurance,71,79,78,75.2,Meets,Yes,No
PF-0103,SG-22027072502,Q3,Quality Assurance,89,100,87,92.5,Exceptional,Yes,Yes
PF-0104,SG-22027072502,Q4,Quality Assurance,76,97,95,87.2,Exceeds,Yes,No
PF-0105,SG-22023012003,Q1,Quality Assurance,54,73,50,59.8,Needs Improvement,Yes,Yes
PF-0106,SG-22023012003,Q2,Quality Assurance,47,81,81,65.7,Meets,No,No
PF-0107,SG-22023012003,Q3,Quality Assurance,74,79,89,78.8,Meets,Yes,Yes
PF-0108,SG-22023012003,Q4,Quality Assurance,97,88,80,90.4,Exceptional,Yes,No
PF-0109,SG-22026012504,Q1,Quality Assurance,60,71,58,63.4,Needs Improvement,No,No
PF-0110,SG-22026012504,Q2,Quality Assurance,51,63,68,58.6,Needs Improvement,No,No
PF-0111,SG-22026012504,Q3,Quality Assurance,85,93,85,87.8,Exceeds,Yes,Yes
PF-0112,SG-22026012504,Q4,Quality Assurance,74,100,100,88.3,Exceeds,Yes,No
PF-0113,SG-22008062305,Q1,Quality Assurance,65,68,66,66.2,Meets,Yes,No
PF-0114,SG-22008062305,Q2,Quality Assurance,78,78,64,75.2,Meets,No,Yes
PF-0115,SG-22008062305,Q3,Quality Assurance,95,95,72,90.4,Exceptional,Yes,No
PF-0116,SG-22008062305,Q4,Quality Assurance,94,90,90,91.8,Exceptional,Yes,No
PF-0117,SG-22008082406,Q1,Quality Assurance,62,75,61,66.4,Meets,No,No
PF-0118,SG-22027062107,Q1,Quality Assurance,46,60,64,54.5,Needs Improvement,No,No
PF-0119,SG-22027062107,Q2,Quality Assurance,60,69,83,67.8,Meets,No,No
PF-0120,SG-22027062107,Q3,Quality Assurance,64,71,74,68.5,Meets,Yes,Yes
PF-0121,SG-22027062107,Q4,Quality Assurance,65,74,99,75.0,Meets,Yes,Yes
PF-0122,SG-22004012208,Q1,Quality Assurance,68,69,47,64.2,Needs Improvement,Yes,No
PF-0123,SG-22004012208,Q2,Quality Assurance,73,66,76,71.2,Meets,No,No
PF-0124,SG-22004012208,Q3,Quality Assurance,74,71,76,73.4,Meets,Yes,Yes
PF-0125,SG-22004012208,Q4,Quality Assurance,100,98,85,96.3,Exceptional,Yes,Yes
PF-0126,SG-22001072309,Q1,Quality Assurance,59,77,55,64.5,Needs Improvement,No,No
PF-0127,SG-22001072309,Q2,Quality Assurance,58,73,75,66.7,Meets,Yes,Yes
PF-0128,SG-22001072309,Q3,Quality Assurance,81,78,71,78.0,Meets,Yes,Yes
PF-0129,SG-22001072309,Q4,Quality Assurance,81,100,90,89.5,Exceeds,Yes,No
PF-0130,SG-22014022110,Q1,Quality Assurance,47,70,80,61.7,Needs Improvement,Yes,Yes
PF-0131,SG-22014022110,Q2,Quality Assurance,67,77,81,73.3,Meets,Yes,Yes
PF-0132,SG-22014022110,Q3,Quality Assurance,76,85,82,80.4,Exceeds,No,No
PF-0133,SG-22014022110,Q4,Quality Assurance,100,96,83,95.2,Exceptional,Yes,No
PF-0134,SG-23013052101,Q1,Engineering and Maintenance,41,64,60,52.8,Needs Improvement,No,Yes
PF-0135,SG-23013052101,Q2,Engineering and Maintenance,68,74,68,70.1,Meets,Yes,Yes
PF-0136,SG-23013052101,Q3,Engineering and Maintenance,86,76,80,81.3,Exceeds,Yes,No
PF-0137,SG-23013052101,Q4,Engineering and Maintenance,89,85,86,87.0,Exceeds,Yes,No
PF-0138,SG-23025082102,Q1,Engineering and Maintenance,50,57,62,54.9,Needs Improvement,Yes,Yes
PF-0139,SG-23025082102,Q2,Engineering and Maintenance,62,68,65,64.7,Needs Improvement,No,No
PF-0140,SG-23025082102,Q3,Engineering and Maintenance,76,78,82,77.9,Meets,Yes,Yes
PF-0141,SG-23025082102,Q4,Engineering and Maintenance,88,83,92,87.1,Exceeds,Yes,No
PF-0142,SG-23026031803,Q1,Engineering and Maintenance,47,57,61,53.3,Needs Improvement,Yes,No
PF-0143,SG-23026031803,Q2,Engineering and Maintenance,66,61,62,63.4,Needs Improvement,Yes,No
PF-0144,SG-23026031803,Q3,Engineering and Maintenance,77,59,88,72.9,Meets,Yes,Yes
PF-0145,SG-23026031803,Q4,Engineering and Maintenance,77,80,89,80.5,Exceeds,Yes,No
PF-0146,SG-23025112404,Q1,Engineering and Maintenance,59,67,64,62.8,Needs Improvement,No,No
PF-0147,SG-23025112404,Q2,Engineering and Maintenance,65,76,82,72.2,Meets,No,No
PF-0148,SG-23025112404,Q3,Engineering and Maintenance,80,89,82,83.6,Exceeds,Yes,Yes
PF-0149,SG-23025112404,Q4,Engineering and Maintenance,100,95,91,96.5,Exceptional,Yes,No
PF-0150,SG-23005062505,Q1,Engineering and Maintenance,74,54,61,64.4,Needs Improvement,No,Yes
PF-0151,SG-23005062505,Q2,Engineering and Maintenance,71,71,68,70.4,Meets,Yes,No
PF-0152,SG-23005062505,Q3,Engineering and Maintenance,91,79,71,82.8,Exceeds,Yes,Yes
PF-0153,SG-23005062505,Q4,Engineering and Maintenance,94,83,86,88.5,Exceeds,Yes,No
PF-0154,SG-23026102106,Q1,Engineering and Maintenance,65,62,55,62.0,Needs Improvement,Yes,Yes
PF-0155,SG-23026102106,Q2,Engineering and Maintenance,70,68,83,71.9,Meets,Yes,Yes
PF-0156,SG-23026102106,Q3,Engineering and Maintenance,83,86,96,86.7,Exceeds,Yes,No
PF-0157,SG-23026102106,Q4,Engineering and Maintenance,85,84,95,86.7,Exceeds,Yes,No
PF-0158,SG-23008032007,Q1,Engineering and Maintenance,51,70,67,60.9,Needs Improvement,Yes,No
PF-0159,SG-23008032007,Q2,Engineering and Maintenance,65,72,63,67.1,Meets,Yes,No
PF-0160,SG-23008032007,Q3,Engineering and Maintenance,86,93,84,88.0,Exceeds,Yes,No
PF-0161,SG-23008032007,Q4,Engineering and Maintenance,93,91,90,91.7,Exceptional,Yes,Yes
PF-0162,SG-23015102408,Q1,Engineering and Maintenance,68,62,56,63.5,Needs Improvement,Yes,Yes
PF-0163,SG-23015102408,Q2,Engineering and Maintenance,86,65,74,76.2,Meets,No,No
PF-0164,SG-23015102408,Q3,Engineering and Maintenance,86,89,82,86.2,Exceeds,Yes,No
PF-0165,SG-23015102408,Q4,Engineering and Maintenance,99,89,87,93.1,Exceptional,Yes,No
PF-0166,SG-24021022401,Q1,Research and Development,78,71,65,73.0,Meets,No,Yes
PF-0167,SG-24021022401,Q2,Research and Development,72,67,67,69.2,Meets,Yes,Yes
PF-0168,SG-24021022401,Q3,Research and Development,88,93,82,88.6,Exceeds,No,Yes
PF-0169,SG-24021022401,Q4,Research and Development,81,100,85,88.5,Exceeds,Yes,No
PF-0170,SG-24010072202,Q1,Research and Development,54,57,56,55.5,Needs Improvement,Yes,No
PF-0171,SG-24010072202,Q2,Research and Development,55,75,66,64.2,Needs Improvement,Yes,No
PF-0172,SG-24010072202,Q3,Research and Development,81,86,83,83.2,Exceeds,Yes,No
PF-0173,SG-24010072202,Q4,Research and Development,70,83,90,78.5,Meets,Yes,Yes
PF-0174,SG-24020071903,Q1,Research and Development,56,62,61,59.1,Needs Improvement,Yes,No
PF-0175,SG-24020071903,Q2,Research and Development,73,83,84,78.7,Meets,Yes,No
PF-0176,SG-24020071903,Q3,Research and Development,88,76,64,79.0,Meets,Yes,Yes
PF-0177,SG-24020071903,Q4,Research and Development,100,81,83,89.9,Exceeds,Yes,No
PF-0178,SG-24030112504,Q1,Research and Development,59,48,63,55.9,Needs Improvement,Yes,Yes
PF-0179,SG-24030112504,Q2,Research and Development,62,92,71,74.3,Meets,Yes,Yes
PF-0180,SG-24030112504,Q3,Research and Development,89,81,68,82.0,Exceeds,Yes,No
PF-0181,SG-24030112504,Q4,Research and Development,89,97,86,91.2,Exceptional,Yes,Yes
PF-0182,SG-24021032005,Q1,Research and Development,55,63,58,58.4,Needs Improvement,Yes,Yes
PF-0183,SG-24021032005,Q2,Research and Development,71,68,69,69.5,Meets,Yes,No
PF-0184,SG-24021032005,Q3,Research and Development,95,85,96,91.7,Exceptional,Yes,No
PF-0185,SG-24021032005,Q4,Research and Development,94,87,100,92.8,Exceptional,Yes,Yes
PF-0186,SG-24020022006,Q1,Research and Development,64,69,67,66.4,Meets,Yes,Yes
PF-0187,SG-24020022006,Q2,Research and Development,74,72,68,72.1,Meets,Yes,Yes
PF-0188,SG-24020022006,Q3,Research and Development,82,75,80,79.2,Meets,Yes,Yes
PF-0189,SG-24020022006,Q4,Research and Development,86,89,76,85.0,Exceeds,Yes,No
PF-0190,SG-24002041907,Q1,Research and Development,38,53,63,48.2,Needs Improvement,Yes,No
PF-0191,SG-24002041907,Q2,Research and Development,44,78,66,60.3,Needs Improvement,No,No
PF-0192,SG-24002041907,Q3,Research and Development,64,79,88,74.1,Meets,Yes,Yes
PF-0193,SG-24002041907,Q4,Research and Development,73,84,94,81.0,Exceeds,Yes,No
PF-0194,SG-25025042101,Q1,Supply Chain and Planning,69,62,54,63.5,Needs Improvement,Yes,No
PF-0195,SG-25026052202,Q1,Supply Chain and Planning,58,44,55,52.5,Needs Improvement,No,Yes
PF-0196,SG-25008102503,Q1,Supply Chain and Planning,69,68,47,64.2,Needs Improvement,Yes,Yes
PF-0197,SG-25013022004,Q1,Supply Chain and Planning,47,70,58,57.3,Needs Improvement,Yes,Yes
PF-0198,SG-25013022004,Q2,Supply Chain and Planning,70,63,72,68.0,Meets,Yes,No
PF-0199,SG-25013022004,Q3,Supply Chain and Planning,82,96,80,86.5,Exceeds,No,No
PF-0200,SG-25013022004,Q4,Supply Chain and Planning,100,85,84,91.5,Exceptional,Yes,Yes
PF-0201,SG-25006072105,Q1,Supply Chain and Planning,64,53,57,58.7,Needs Improvement,Yes,Yes
PF-0202,SG-25007032106,Q1,Supply Chain and Planning,55,57,64,57.5,Needs Improvement,Yes,No
PF-0203,SG-25007032106,Q2,Supply Chain and Planning,79,56,76,70.4,Meets,No,No
PF-0204,SG-25007032106,Q3,Supply Chain and Planning,91,78,82,84.7,Exceeds,Yes,No
PF-0205,SG-25007032106,Q4,Supply Chain and Planning,75,90,86,82.5,Exceeds,Yes,Yes
PF-0206,SG-26014051901,Q1,Procurement,55,78,59,63.8,Needs Improvement,Yes,No
PF-0207,SG-26005022102,Q1,Procurement,53,62,65,58.5,Needs Improvement,No,No
PF-0208,SG-26005072003,Q1,Procurement,49,75,67,61.7,Needs Improvement,Yes,No
PF-0209,SG-26005072003,Q2,Procurement,58,86,72,70.6,Meets,Yes,Yes
PF-0210,SG-26005072003,Q3,Procurement,81,93,91,87.2,Exceeds,Yes,No
PF-0211,SG-26005072003,Q4,Procurement,89,82,99,88.5,Exceeds,Yes,No
PF-0212,SG-26002032004,Q1,Procurement,67,71,62,67.4,Meets,Yes,No
PF-0213,SG-27016122001,Q1,Finance and Accounts,61,67,45,59.9,Needs Improvement,No,Yes
PF-0214,SG-27016122001,Q2,Finance and Accounts,58,76,80,68.7,Meets,No,No
PF-0215,SG-27016122001,Q3,Finance and Accounts,74,90,75,79.8,Meets,Yes,Yes
PF-0216,SG-27016122001,Q4,Finance and Accounts,89,76,99,86.5,Exceeds,No,Yes
PF-0217,SG-27024032502,Q1,Finance and Accounts,41,49,71,49.8,Needs Improvement,Yes,Yes
PF-0218,SG-27008102203,Q1,Finance and Accounts,37,52,60,46.9,Needs Improvement,Yes,Yes
PF-0219,SG-27024112004,Q1,Finance and Accounts,64,70,53,63.9,Needs Improvement,Yes,No
PF-0220,SG-28028062201,Q1,IT Data and HRIS,69,69,63,67.8,Meets,Yes,No
PF-0221,SG-28028062201,Q2,IT Data and HRIS,75,75,71,74.2,Meets,No,No
PF-0222,SG-28028062201,Q3,IT Data and HRIS,73,75,69,72.9,Meets,Yes,Yes
PF-0223,SG-28028062201,Q4,IT Data and HRIS,87,80,83,83.8,Exceeds,Yes,No
PF-0224,SG-28012122402,Q1,IT Data and HRIS,69,63,62,65.5,Meets,No,No
PF-0225,SG-28012122402,Q2,IT Data and HRIS,73,71,58,69.3,Meets,No,Yes
PF-0226,SG-28012122402,Q3,IT Data and HRIS,65,76,76,71.0,Meets,Yes,Yes
PF-0227,SG-28012122402,Q4,IT Data and HRIS,100,88,82,92.2,Exceptional,Yes,No
PF-0228,SG-28005032303,Q1,IT Data and HRIS,48,63,72,58.0,Needs Improvement,Yes,Yes
PF-0229,SG-28005032303,Q2,IT Data and HRIS,55,67,63,60.8,Needs Improvement,No,Yes
PF-0230,SG-28005032303,Q3,IT Data and HRIS,72,79,77,75.5,Meets,Yes,Yes
PF-0231,SG-28005032303,Q4,IT Data and HRIS,84,80,90,83.8,Exceeds,Yes,Yes
PF-0232,SG-28027042404,Q1,IT Data and HRIS,40,64,56,51.6,Needs Improvement,No,Yes
PF-0233,SG-28027042404,Q2,IT Data and HRIS,63,65,85,68.1,Meets,Yes,No
PF-0234,SG-28027042404,Q3,IT Data and HRIS,59,90,81,74.2,Meets,Yes,Yes
PF-0235,SG-28027042404,Q4,IT Data and HRIS,94,100,78,92.9,Exceptional,No,Yes
PF-0236,SG-29026022301,Q1,Sales Distribution and Service,51,67,59,58.2,Needs Improvement,No,No
PF-0237,SG-29026022301,Q2,Sales Distribution and Service,73,58,68,66.8,Meets,No,No
PF-0238,SG-29026022301,Q3,Sales Distribution and Service,82,80,84,81.7,Exceeds,No,Yes
PF-0239,SG-29026022301,Q4,Sales Distribution and Service,88,86,97,89.1,Exceeds,Yes,No
PF-0240,SG-29023062202,Q1,Sales Distribution and Service,55,65,66,60.7,Needs Improvement,No,Yes
PF-0241,SG-29026052403,Q1,Sales Distribution and Service,70,65,67,67.7,Meets,No,Yes
PF-0242,SG-29026052403,Q2,Sales Distribution and Service,77,70,64,72.0,Meets,Yes,Yes
PF-0243,SG-29026052403,Q3,Sales Distribution and Service,82,93,98,89.0,Exceeds,Yes,No
PF-0244,SG-29026052403,Q4,Sales Distribution and Service,100,100,87,97.4,Exceptional,Yes,Yes
PF-0245,SG-29010112404,Q1,Sales Distribution and Service,61,52,55,56.6,Needs Improvement,Yes,No
PF-0246,SG-30018031801,Q1,EHS and Regulatory Compliance,58,64,67,61.9,Needs Improvement,Yes,No
PF-0247,SG-30001092002,Q1,EHS and Regulatory Compliance,66,69,63,66.4,Meets,Yes,No
PF-0248,SG-31029061801,Q1,Administration and Security,73,65,58,67.2,Meets,Yes,Yes
PF-0249,SG-31029061801,Q2,Administration and Security,58,70,71,64.8,Needs Improvement,No,Yes
PF-0250,SG-31029061801,Q3,Administration and Security,86,87,100,89.2,Exceeds,Yes,Yes
PF-0251,SG-31029061801,Q4,Administration and Security,89,98,94,93.1,Exceptional,Yes,Yes
PF-0252,SG-31002112302,Q1,Administration and Security,57,46,62,54.1,Needs Improvement,Yes,Yes
PF-0253,SG-12705012605,Q1,Human Resources and People,70,68,55,66.3,Meets,No,Yes
PF-0254,SG-12705012605,Q2,Human Resources and People,89,75,78,81.9,Exceeds,Yes,No
PF-0255,SG-12705012605,Q3,Human Resources and People,93,86,89,89.8,Exceeds,Yes,No
PF-0256,SG-12705012605,Q4,Human Resources and People,100,100,93,98.6,Exceptional,No,No
PF-0261,SG-21011052646,Q2,Smartwatch Production,75,73,76,74.5,Meets,No,No
PF-0262,SG-21011052646,Q3,Smartwatch Production,80,82,77,80.1,Exceeds,No,No
PF-0263,SG-21011052646,Q4,Smartwatch Production,82,97,84,87.6,Exceeds,Yes,Yes
PF-0264,SG-21030042647,Q2,Smartwatch Production,72,76,69,72.8,Meets,Yes,Yes
PF-0265,SG-21030042647,Q3,Smartwatch Production,79,91,80,83.4,Exceeds,Yes,Yes
PF-0266,SG-21030042647,Q4,Smartwatch Production,95,82,92,89.9,Exceeds,No,Yes
PF-0267,SG-21025062648,Q2,Smartwatch Production,59,68,69,64.1,Needs Improvement,No,No
PF-0268,SG-21025062648,Q3,Smartwatch Production,58,81,89,72.2,Meets,Yes,Yes
PF-0269,SG-21025062648,Q4,Smartwatch Production,87,72,86,81.5,Exceeds,Yes,Yes
PF-0270,SG-21012052649,Q2,Smartwatch Production,87,68,67,76.3,Meets,Yes,Yes
PF-0271,SG-21012052649,Q3,Smartwatch Production,68,70,84,71.9,Meets,Yes,Yes
PF-0272,SG-21012052649,Q4,Smartwatch Production,87,78,87,83.8,Exceeds,Yes,No
PF-0273,SG-21004042650,Q2,Smartwatch Production,61,63,76,64.7,Needs Improvement,Yes,Yes
PF-0274,SG-21004042650,Q3,Smartwatch Production,76,57,75,69.2,Meets,Yes,Yes
PF-0275,SG-21004042650,Q4,Smartwatch Production,70,85,98,80.8,Exceeds,Yes,Yes
PF-0276,SG-21001052651,Q2,Smartwatch Production,68,69,66,68.0,Meets,No,No
PF-0277,SG-21001052651,Q3,Smartwatch Production,81,92,89,86.5,Exceeds,Yes,No
PF-0278,SG-21001052651,Q4,Smartwatch Production,90,91,86,89.5,Exceeds,Yes,Yes
PF-0279,SG-21011062652,Q2,Smartwatch Production,82,83,72,80.3,Exceeds,Yes,No
PF-0280,SG-21011062652,Q3,Smartwatch Production,87,92,78,86.9,Exceeds,Yes,No
PF-0281,SG-21011062652,Q4,Smartwatch Production,100,100,86,97.2,Exceptional,Yes,Yes
PF-0282,SG-21017062653,Q2,Smartwatch Production,64,66,70,65.9,Meets,No,No
PF-0283,SG-21017062653,Q3,Smartwatch Production,82,84,74,81.1,Exceeds,Yes,No
PF-0284,SG-21017062653,Q4,Smartwatch Production,81,90,88,85.6,Exceeds,Yes,Yes
PF-0285,SG-22027062611,Q2,Quality Assurance,59,72,75,66.8,Meets,Yes,No
PF-0286,SG-22027062611,Q3,Quality Assurance,91,80,84,85.8,Exceeds,Yes,No
PF-0287,SG-22027062611,Q4,Quality Assurance,83,100,98,91.9,Exceptional,Yes,Yes
PF-0288,SG-22024042612,Q2,Quality Assurance,60,76,76,68.8,Meets,Yes,No
