Performance_Record_ID,Employee_ID,Quarter,Department,Goal_Achievement_Score,Quality_Score,Behaviour_Score,Overall_Score,Performance_Rating,Manager_Checkin_Completed,Development_Plan_Created
PF-0316,SG-25010042607,Q3,Supply Chain and Planning,66,70,82,70.6,Meets,No,Yes
PF-0319,SG-30023052603,Q3,EHS and Regulatory Compliance,54,75,90,68.5,Meets,Yes,Yes
PF-0321,SG-21028082654,Q3,Smartwatch Production,60,89,82,74.5,Meets,Yes,Yes
PF-0323,SG-21001092655,Q3,Smartwatch Production,100,68,66,82.0,Exceeds,Yes,No
PF-0325,SG-21018072656,Q3,Smartwatch Production,86,67,87,79.6,Meets,No,Yes
PF-0327,SG-21012092657,Q3,Smartwatch Production,66,81,82,74.5,Meets,Yes,Yes
PF-0329,SG-21012092658,Q3,Smartwatch Production,88,94,88,90.1,Exceptional,No,Yes
PF-0331,SG-21003092659,Q3,Smartwatch Production,65,74,73,69.8,Meets,Yes,Yes
PF-0333,SG-21009092660,Q3,Smartwatch Production,76,84,80,79.6,Meets,Yes,Yes
PF-0335,SG-21024092661,Q3,Smartwatch Production,80,81,77,79.8,Meets,Yes,Yes
PF-0337,SG-21010082662,Q3,Smartwatch Production,69,69,79,71.0,Meets,Yes,Yes
PF-0339,SG-21022082663,Q3,Smartwatch Production,89,90,74,86.3,Exceeds,Yes,No
PF-0341,SG-21015082664,Q3,Smartwatch Production,92,92,92,92.0,Exceptional,Yes,Yes
PF-0343,SG-21006082665,Q3,Smartwatch Production,75,70,88,75.8,Meets,No,Yes
PF-0345,SG-21004082666,Q3,Smartwatch Production,74,70,80,73.8,Meets,Yes,Yes
PF-0347,SG-21024082667,Q3,Smartwatch Production,77,84,77,79.5,Meets,Yes,Yes
PF-0349,SG-22006072614,Q3,Quality Assurance,68,84,85,77.0,Meets,Yes,Yes
PF-0351,SG-22016082615,Q3,Quality Assurance,65,64,74,66.5,Meets,Yes,Yes
PF-0353,SG-22008082616,Q3,Quality Assurance,80,83,70,79.0,Meets,Yes,Yes
PF-0355,SG-22002092617,Q3,Quality Assurance,71,84,81,77.5,Meets,Yes,Yes
PF-0357,SG-23030082611,Q3,Engineering and Maintenance,65,79,86,74.1,Meets,Yes,Yes
PF-0359,SG-23001082612,Q3,Engineering and Maintenance,71,66,86,72.2,Meets,No,Yes
PF-0361,SG-23013092613,Q3,Engineering and Maintenance,96,77,79,86.0,Exceeds,Yes,No
PF-0363,SG-24025082610,Q3,Research and Development,82,66,100,80.0,Exceeds,Yes,No
PF-0365,SG-24027082611,Q3,Research and Development,55,74,72,65.0,Meets,Yes,Yes
PF-0367,SG-24026092612,Q3,Research and Development,84,67,91,79.5,Meets,No,Yes
PF-0369,SG-28012072607,Q3,IT Data and HRIS,90,68,87,81.7,Exceeds,Yes,No
PF-0371,SG-28031082608,Q3,IT Data and HRIS,77,69,76,74.0,Meets,Yes,Yes
PF-0373,SG-29001082605,Q3,Sales Distribution and Service,67,77,78,72.7,Meets,Yes,Yes
PF-0375,SG-29008072606,Q3,Sales Distribution and Service,80,60,86,74.2,Meets,Yes,Yes
PF-0377,SG-25008092608,Q3,Supply Chain and Planning,72,65,80,71.2,Meets,Yes,Yes
PF-0379,SG-25028072609,Q3,Supply Chain and Planning,82,83,92,84.3,Exceeds,No,No
PF-0381,SG-12724092608,Q3,Human Resources and People,76,78,85,78.5,Meets,Yes,Yes
PF-0383,SG-27005082605,Q3,Finance and Accounts,99,84,75,89.0,Exceeds,No,No
